Employee_ID,Name,Department,Designation,Ward,Current_Workload,Max_Workload,Status,Phone,Experience
EMP001,Karan Sharma,Road Maintenance(Engg),EE,Ward-71,3,10,Available,9181960013,8
EMP002,Keerthi Sharma,Road Maintenance(Engg),EE,Ward-51,8,10,Available,9794026542,7
EMP003,Naveen Reddy,Road Maintenance(Engg),AE,Ward-98,1,10,Available,9594078161,18
EMP004,Aditya Yadav,Road Maintenance(Engg),EE,Ward-50,1,10,Available,9341316475,6
EMP005,Sanjay Yadav,Road Maintenance(Engg),AE,Ward-172,4,10,Busy,9192832764,21
EMP006,Suresh Shetty,Electrical,AE,Ward-59,0,10,Busy,9641395376,21
EMP007,Varun Nair,Electrical,AEE,Ward-36,3,10,Busy,9849696532,17
EMP008,Bhavya Kumar,Electrical,AE,Ward-29,2,10,Available,9691669784,18
EMP009,Rahul Reddy,Electrical,EE,Ward-138,4,10,Busy,9514627048,25
EMP010,Deepak Mishra,Electrical,AE,Ward-161,4,10,Busy,9893252880,20
EMP011,Manoj Iyer,Forest,RFO,Ward-29,5,10,Busy,9430391171,25
EMP012,Madhav Nair,Forest,RFO,Ward-169,7,10,On Leave,9248963834,13
EMP013,Sanjay Gowda,Forest,DCF,Ward-116,1,10,Available,9150983930,3
EMP014,Neha Verma,Forest,RFO,Ward-9,5,10,Available,9347382997,8
EMP015,Anand Kulkarni,Forest,RFO,Ward-25,1,10,Available,9566701065,4
EMP016,Pooja Joshi,Solid Waste (Garbage) Related,Marshal,Ward-138,7,10,Available,9247317810,21
EMP017,Madhav Sharma,Solid Waste (Garbage) Related,Marshal,Ward-193,3,10,Available,9773602606,9
EMP018,Varun Rao,Solid Waste (Garbage) Related,JHI,Ward-179,8,10,Available,9723430980,24
EMP019,Manoj Gupta,Solid Waste (Garbage) Related,Marshal,Ward-150,7,10,Available,9820812191,22
EMP020,Pooja Das,Solid Waste (Garbage) Related,Marshal,Ward-146,3,10,Available,9091699854,7
EMP021,Manoj Verma,veterinary,ADAH,Ward-102,2,10,Available,9475107991,3
EMP022,Madhav Joshi,veterinary,ADAH,Ward-34,5,10,Busy,9354278498,1
EMP023,Akash Reddy,veterinary,Veterinary Officer,Ward-68,1,10,Busy,9824493534,17
EMP024,Bhavya Singh,veterinary,Veterinary Officer,Ward-24,6,10,Busy,9005242786,18
EMP025,Rahul Reddy,veterinary,Veterinary Officer,Ward-177,2,10,Available,9598262045,2
EMP026,Anil Joshi,Lakes,Lake Officer,Ward-171,1,10,Available,9869232260,6
EMP027,Naveen Kulkarni,Lakes,Lake Officer,Ward-69,2,10,Busy,9160733754,8
EMP028,Suresh Sharma,Lakes,Lake Officer,Ward-103,5,10,Available,9145868501,9
EMP029,Deepak Singh,Lakes,Lake Officer,Ward-28,6,10,Available,9569816934,2
EMP030,Ritu Sharma,Lakes,Lake Officer,Ward-94,6,10,Available,9595148465,13
EMP031,Aditya Nair,CORONA COVID19,Health Officer,Ward-108,6,10,Available,9299468044,7
EMP032,Ritu Shetty,CORONA COVID19,Health Officer,Ward-114,7,10,Available,9872148951,25
EMP033,Pooja Rao,CORONA COVID19,Health Officer,Ward-51,2,10,Available,9379176936,16
EMP034,Kavya Verma,CORONA COVID19,Health Officer,Ward-168,0,10,Busy,9163287083,4
EMP035,Varun Nair,CORONA COVID19,Health Officer,Ward-171,8,10,On Leave,9957986872,24
EMP036,Anand Gowda,Parks and Play grounds,Gardener Supervisor,Ward-193,3,10,Busy,9487347143,9
EMP037,Naveen Shetty,Parks and Play grounds,Park Officer,Ward-36,2,10,Available,9231665876,2
EMP038,Ranganath Kulkarni,Parks and Play grounds,Gardener Supervisor,Ward-198,0,10,Busy,9967054668,24
EMP039,Madhav Verma,Parks and Play grounds,Gardener Supervisor,Ward-57,4,10,Available,9065627298,1
EMP040,Kavya Sharma,Parks and Play grounds,Park Officer,Ward-165,6,10,Available,9720465375,11
EMP041,Rakesh Singh,Storm  Water Drain(SWD),AEE,Ward-65,1,10,Available,9805310033,1
EMP042,Sneha Verma,Storm  Water Drain(SWD),AE,Ward-122,1,10,Available,9374529912,10
EMP043,Ananya Sharma,Storm  Water Drain(SWD),AEE,Ward-148,6,10,Available,9319314919,2
EMP044,Anil Kulkarni,Storm  Water Drain(SWD),AEE,Ward-18,8,10,Available,9067165726,6
EMP045,Harish Singh,Storm  Water Drain(SWD),AEE,Ward-120,6,10,Busy,9945314737,19
EMP046,Rakesh Shetty,Revenue Department,ARO,Ward-127,5,10,Available,9354549480,17
EMP047,Harsha Kumar,Revenue Department,ARO,Ward-185,6,10,Available,9377701436,23
EMP048,Pooja Rao,Revenue Department,RO,Ward-122,8,10,Available,9685574443,4
EMP049,Harsha Shetty,Revenue Department,ARO,Ward-191,8,10,On Leave,9233749894,4
EMP050,Harsha Rao,Revenue Department,ARO,Ward-93,2,10,Available,9824008427,4
EMP051,Rahul Rao,Health Dept,Medical Officer,Ward-123,7,10,Available,9047116719,21
EMP052,Neha Nair,Health Dept,MOH,Ward-145,4,10,Available,9318699938,13
EMP053,Abhishek Gowda,Health Dept,Medical Officer,Ward-151,6,10,Available,9909133412,8
EMP054,Deepak Kumar,Health Dept,MOH,Ward-1,6,10,Available,9974034471,22
EMP055,Suresh Singh,Health Dept,MOH,Ward-109,1,10,Available,9242102499,10
EMP056,Abhishek Reddy,Advertisement,Advertisement Officer,Ward-177,4,10,Available,9488771906,24
EMP057,Manoj Singh,Advertisement,Advertisement Officer,Ward-24,3,10,On Leave,9990490278,21
EMP058,Abhishek Singh,Advertisement,Advertisement Officer,Ward-150,6,10,Available,9717565512,11
EMP059,Swathi Iyer,Advertisement,Advertisement Officer,Ward-170,6,10,Busy,9807154516,17
EMP060,Rahul Gowda,Advertisement,Advertisement Officer,Ward-14,3,10,Available,9977034824,15
EMP061,Bhavya Reddy,Sanitation,JHI,Ward-162,3,10,Busy,9480861317,4
EMP062,Sneha Iyer,Sanitation,Marshal,Ward-75,8,10,Busy,9677378263,20
EMP063,Keerthi Nair,Sanitation,JHI,Ward-71,6,10,Available,9840449972,15
EMP064,Madhav Iyer,Sanitation,SHI,Ward-86,8,10,Busy,9675339636,2
EMP065,Manoj Iyer,Sanitation,Marshal,Ward-98,6,10,On Leave,9270289517,4
EMP066,Harish Gowda,Others,Officer,Ward-185,2,10,Available,9217459615,22
EMP067,Madhav Das,Others,Officer,Ward-161,7,10,Busy,9091343161,25
EMP068,Ananya Gowda,Others,Officer,Ward-178,4,10,On Leave,9050455623,17
EMP069,Swathi Patel,Others,Officer,Ward-45,1,10,Available,9693792374,15
EMP070,Nikhil Sharma,Others,Officer,Ward-74,8,10,Available,9759464743,13
EMP071,Anand Reddy,Town Planning,ADTP,Ward-98,5,10,Available,9406409097,10
EMP072,Suresh Yadav,Town Planning,ADTP,Ward-163,3,10,Available,9210470952,3
EMP073,Aditya Shetty,Town Planning,DDTP,Ward-45,3,10,Available,9858842474,24
EMP074,Naveen Reddy,Town Planning,DDTP,Ward-20,2,10,Busy,9368516048,4
EMP075,Varun Yadav,Town Planning,DDTP,Ward-150,6,10,Busy,9513709859,8
EMP076,Rohit Gowda,Optical Fiber Cables (OFC),OFC Engineer,Ward-167,6,10,Available,9004711382,13
EMP077,Varun Yadav,Optical Fiber Cables (OFC),OFC Engineer,Ward-151,2,10,Busy,9179640537,15
EMP078,Pooja Yadav,Optical Fiber Cables (OFC),OFC Engineer,Ward-176,5,10,Available,9506431713,21
EMP079,Aman Gupta,Optical Fiber Cables (OFC),OFC Engineer,Ward-63,2,10,Busy,9318393352,20
EMP080,Rahul Singh,Optical Fiber Cables (OFC),OFC Engineer,Ward-34,8,10,Available,9210205395,1
EMP081,Deepak Singh,Welfare Schemes,Welfare Officer,Ward-33,6,10,Available,9177589178,8
EMP082,Priya Mishra,Welfare Schemes,Welfare Officer,Ward-118,0,10,Available,9766177115,20
EMP083,Sneha Kumar,Welfare Schemes,Welfare Officer,Ward-71,8,10,Busy,9698478961,23
EMP084,Karan Joshi,Welfare Schemes,Welfare Officer,Ward-116,3,10,Available,9766156545,5
EMP085,Anand Kumar,Welfare Schemes,Welfare Officer,Ward-22,1,10,Available,9528098851,14
EMP086,Anil Kulkarni,Estate,Estate Officer,Ward-74,4,10,Available,9983273158,12
